Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Sub-Category,Quantity,Discount,Profit
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,956.6648,Bookcases,7,0.32,-225.0976
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,1115.91,Accessories,9,0,200.8638
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,128.744,Phones,7,0.2,-28.9674
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,79.92,Phones,10,0.2,26.973
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,24.2,Art,5,0,7.986
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,359.976,Phones,3,0.2,130.4913
First Class,Home Office,United States,San Francisco,California,94122,West,Furniture,211.84,Furnishings,8,0,76.2624
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,5.68,Fasteners,2,0.2,1.917
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,7.52,Binders,5,0.2,2.632
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,11.96,Paper,2,0,5.8604
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,629.064,Tables,3,0.2,31.4532
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,754.45,Chairs,5,0,60.356
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,301.96,Bookcases,2,0,60.392
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,595,Accessories,5,0,95.2
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,79.872,Binders,3,0.2,29.952
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,2396.4,Machines,10,0.2,179.73
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,63.56,Storage,2,0,3.178
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,99.99,Accessories,1,0,43.9956
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,230.376,Storage,3,0.2,-48.9549
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,9.664,Paper,2,0.2,3.2616
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,158.928,Accessories,7,0.2,41.7186
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,13.023,Binders,1,0.7,-10.4184
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,273.06,Tables,2,0.4,-104.673
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,39.312,Fasteners,13,0.2,12.7764
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,1.344,Binders,4,0.8,-2.1504
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,8.272,Binders,4,0.8,-13.6488
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,12.544,Furnishings,7,0.6,-9.0944
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,58.48,Labels,8,0,27.4856
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,7.4,Furnishings,2,0,3.034
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,366.786,Chairs,7,0.1,65.2064
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,54.368,Phones,4,0.2,4.0776
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,33.96,Envelopes,2,0,16.98
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,826.11,Appliances,3,0,322.1829
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,545.85,Furnishings,9,0,114.6285
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,145.98,Tables,2,0.5,-99.2664
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,35.808,Paper,4,0.2,12.5328
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,7.904,Furnishings,2,0.2,2.1736
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,345,Phones,5,0,86.25
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,174.286,Tables,2,0.3,-19.9184
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,662.84,Appliances,4,0,172.3384
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,95.1,Accessories,5,0,30.432
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,26.88,Envelopes,6,0,12.9024
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,257.98,Phones,2,0,74.8142
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,17.48,Envelopes,2,0,8.2156
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,492.835,Chairs,5,0.3,-14.081
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,269.49,Storage,3,0,5.3898
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,29.12,Binders,5,0.2,9.828
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,18.75,Labels,5,0,9
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,119.7,Phones,6,0,31.122
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,9.144,Binders,3,0.2,3.0861
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,57.06,Accessories,3,0,18.2592
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,71.6,Accessories,8,0,13.604
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,107.44,Storage,8,0,27.9344
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,7.31,Labels,1,0,3.4357
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,59.1,Art,6,0,22.458
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,46.53,Storage,3,0,12.0978
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,97.84,Appliances,2,0,25.4384
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,29.97,Paper,3,0,13.4865
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,98.352,Binders,3,0.2,34.4232
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,83.92,Binders,5,0.2,29.372
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,14.624,Binders,2,0.2,5.1184
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,136.99,Phones,1,0,36.9873
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,3.15,Labels,1,0,1.512
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,9.11,Paper,1,0,4.0995
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,571.44,Storage,4,0,165.7176
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,32.4,Paper,5,0,15.552
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,16.91,Storage,1,0,4.5657
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,14.272,Furnishings,8,0.2,4.2816
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,451.136,Bookcases,4,0.2,-67.6704
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,64.864,Appliances,4,0.2,6.4864
First Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,217.584,Chairs,2,0.2,-29.9178
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,82.95,Accessories,5,0,29.0325
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,87.71,Labels,7,0,41.2237
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,1101.48,Appliances,4,0,429.5772
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,1322.352,Tables,3,0.2,-99.1764
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,5.46,Art,3,0,1.4742
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,11.184,Supplies,1,0.2,0.8388
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,153.584,Storage,2,0.2,-32.6366
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,1003.62,Storage,6,0,0
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,35.168,Phones,4,0.2,11.4296
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Furniture,1137.75,Tables,5,0,250.305
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,99.68,Binders,5,0.2,32.396
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,5.56,Art,2,0,1.4456
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,85.52,Storage,2,0,22.2352
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,9.84,Art,3,0,2.6568
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,20.04,Paper,3,0,9.6192
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,631.96,Phones,4,0,303.3408
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,23.92,Paper,4,0,10.764
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,90.24,Paper,6,0,41.5104
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,4548.81,Phones,7,0,1228.1787
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,300.93,Tables,5,0.3,-34.392
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,719.96,Phones,5,0.2,53.997
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,647.84,Chairs,8,0,32.392
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,64.17,Storage,3,0,18.6093
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,124.46,Envelopes,2,0,58.4962
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,9.584,Binders,1,0.2,3.3544
First Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,37.608,Envelopes,3,0.2,12.6927
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,12.224,Paper,2,0.2,4.4312
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,2.304,Binders,4,0.8,-3.5712
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,9.36,Binders,4,0.8,-16.38
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,7.38,Labels,2,0,3.4686
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,53.72,Storage,4,0,15.0416
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,8187.65,Supplies,5,0,327.506
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,77.92,Furnishings,8,0,34.2848
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,32.784,Appliances,4,0.8,-85.2384
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,196.776,Phones,3,0.2,14.7582
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,479.94,Accessories,6,0,52.7934
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,1117.92,Storage,4,0,55.896
First Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,106.5,Accessories,6,0,41.535
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,45.66,Binders,5,0.7,-33.484
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,95.968,Accessories,4,0.2,1.1996
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,47.992,Chairs,2,0.3,-2.0568
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,264.32,Storage,2,0.2,19.824
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,604.656,Envelopes,9,0.2,204.0714
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,129.93,Furnishings,3,0,12.993
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,20.16,Labels,7,0,9.8784
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,29.46,Labels,6,0,14.4354
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,868.59,Appliances,3,0,251.8911
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,12.96,Paper,2,0,6.2208
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Technology,5.5,Phones,1,0,1.375
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,121.6,Binders,4,0,55.936
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,42.048,Art,9,0.2,5.256
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,25.488,Accessories,2,0.2,4.4604
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,6.9,Binders,3,0.8,-12.075
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,9.648,Binders,6,0.8,-16.884
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,7.968,Paper,2,0.2,2.8884
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,10.368,Paper,2,0.2,3.6288
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,114.2,Paper,5,0,52.532
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,17.96,Binders,4,0,8.2616
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,12.67,Fasteners,7,0,4.5612
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Technology,339.96,Accessories,4,0,122.3856
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,1801.632,Storage,6,0.2,-337.806
First Class,Corporate,United States,La Quinta,California,92253,West,Technology,46.32,Accessories,4,0,18.0648
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,181.986,Chairs,2,0.3,-54.5958
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,431.976,Phones,4,0.4,-100.7944
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,155.37,Phones,1,0.4,-36.253
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,1348.704,Chairs,6,0.2,-219.1644
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,700.152,Chairs,3,0.2,78.7671
Standard Class,Corporate,United States,Scottsdale,Arizona,85254,West,Furniture,111.888,Furnishings,7,0.2,22.3776
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,143.952,Appliances,3,0.2,14.3952
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,173.94,Bookcases,3,0,13.9152
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Office Supplies,14.76,Labels,4,0,6.9372
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,205.92,Storage,4,0,2.0592
Standard Class,Consumer,United States,San Jose,California,95123,West,Furniture,102.833,Bookcases,1,0.15,-6.049
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,2.304,Art,1,0.2,0.2592
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,1879.96,Phones,5,0.2,211.4955
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,313.024,Paper,8,0.2,105.6456
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,5.04,Labels,2,0.2,1.764
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,821.88,Furnishings,6,0,213.6888
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,21.96,Binders,2,0,10.7604
Standard Class,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,25.92,Paper,4,0,12.4416
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,705.544,Phones,7,0.2,70.5544
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,50,Accessories,2,0,12
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,51.712,Furnishings,8,0.6,-32.32
Standard Class,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,6.992,Appliances,2,0.2,0.5244
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,1406.86,Bookcases,7,0,140.686
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,15.75,Labels,5,0,7.56
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,323.1,Storage,2,0,61.389
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,9.216,Labels,4,0.2,3.3408
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,10.368,Paper,2,0.2,3.6288
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,15.02,Accessories,1,0,2.7036
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,33.82,Storage,2,0,9.1314
First Class,Consumer,United States,Bowling Green,Kentucky,42104,South,Technology,71,Accessories,4,0,27.69
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Office Supplies,25.12,Binders,5,0.2,7.85
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Furniture,2665.62,Tables,9,0,239.9058
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,478.08,Storage,8,0,133.8624
Same Day,Corporate,United States,Newark,Ohio,43055,East,Technology,164.388,Phones,2,0.4,-35.6174
Same Day,Corporate,United States,Newark,Ohio,43055,East,Office Supplies,13.248,Art,4,0.2,3.6432
Standard Class,Home Office,United States,Woodstock,Illinois,60098,Central,Office Supplies,2.912,Art,2,0.2,0.91
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Technology,1399.944,Accessories,7,0.2,52.4979
Standard Class,Home Office,United States,Lafayette,Indiana,47905,Central,Furniture,526.45,Furnishings,5,0,31.587
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,16.23,Envelopes,3,0,7.9527
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,319.9,Binders,5,0,156.751
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,11.36,Envelopes,2,0,5.3392
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,675.12,Appliances,3,0,290.3016
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,62.82,Furnishings,3,0,30.7818
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,489.92,Storage,8,0,0
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,19.44,Paper,3,0,9.3312
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,16.68,Paper,2,0,8.34
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Technology,155.35,Phones,13,0,0
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,12.42,Furnishings,3,0,4.4712
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Technology,187.98,Phones,2,0,52.6344
Standard Class,Corporate,United States,Haltom City,Texas,76117,Central,Office Supplies,6.608,Envelopes,2,0.2,2.1476
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,248.57,Storage,7,0,67.1139
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,22.23,Furnishings,1,0,9.7812
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,5.98,Storage,1,0,1.0166
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Technology,246.168,Phones,3,0.2,21.5397
Standard Class,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,14.136,Furnishings,2,0.6,-7.7748
Standard Class,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,601.47,Tables,3,0.5,-300.735
Second Class,Corporate,United States,Summerville,South Carolina,29483,South,Technology,79.1,Phones,2,0,39.55
Second Class,Corporate,United States,Summerville,South Carolina,29483,South,Office Supplies,327.84,Binders,8,0,157.3632
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,180.96,Envelopes,2,0,81.432
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,914.97,Binders,3,0,411.7365
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Technology,587.97,Phones,3,0,158.7519
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,530.34,Storage,2,0,95.4612
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,14.94,Paper,3,0,7.3206
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,121.94,Appliances,2,0,35.3626
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,122.71,Supplies,7,0,36.813
Same Day,Consumer,United States,New York City,New York,10035,East,Office Supplies,14.94,Paper,3,0,7.0218
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,1349.85,Machines,3,0,364.4595
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,136.784,Bookcases,1,0.2,5.1294
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,61.12,Furnishings,4,0,20.7808
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,1.167,Binders,1,0.7,-0.8558
Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,16.99,Art,1,0,4.9271
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,24.672,Accessories,3,0.2,0
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,2.52,Labels,1,0.2,0.882
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,1218.735,Tables,5,0.3,-121.8735
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,5.904,Labels,2,0.2,1.9926
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,15.696,Paper,3,0.2,5.1012
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,6.096,Furnishings,3,0.6,-3.9624
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,41.568,Chairs,2,0.2,2.598
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,230.28,Chairs,3,0.2,23.028
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,18.288,Binders,6,0.2,5.715
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,5.78,Labels,2,0,2.7166
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,121.68,Binders,13,0.2,38.025
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,4.17,Art,3,0,1.0842
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Technology,67.04,Phones,4,0.2,6.704
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,37.32,Storage,3,0,10.4496
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,18.45,Labels,5,0,8.6715
Second Class,Corporate,United States,Saint Louis,Missouri,63116,Central,Office Supplies,25.92,Paper,4,0,12.4416
First Class,Home Office,United States,New York City,New York,10024,East,Technology,11199.968,Copiers,4,0.2,3919.9888
First Class,Home Office,United States,New York City,New York,10024,East,Technology,2399.6,Phones,8,0,647.892
First Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,63.9,Envelopes,5,0,28.755
First Class,Home Office,United States,New York City,New York,10024,East,Technology,52.99,Phones,1,0,0.5299
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,60.864,Accessories,4,0.2,9.1296
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,652.995,Machines,7,0.7,-935.9595
First Class,Corporate,United States,Springfield,Ohio,45503,East,Office Supplies,11.22,Binders,10,0.7,-7.48
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,14.94,Paper,3,0,7.0218
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,39.96,Furnishings,2,0,17.1828
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,42.624,Chairs,2,0.2,4.2624
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,220.96,Chairs,1,0.2,24.858
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Furniture,4.928,Furnishings,2,0.2,0.7392
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Office Supplies,7.23,Binders,5,0.7,-5.784
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,323.1,Storage,2,0,61.389
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,19.04,Paper,4,0,9.3296
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,13.128,Binders,3,0.2,4.2666
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,64.14,Art,3,0,16.6764
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,858.24,Chairs,4,0.1,143.04
Standard Class,Consumer,United States,Hot Springs,Arkansas,71901,South,Technology,29.99,Accessories,1,0,2.999
First Class,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,186.048,Paper,6,0.2,67.4424
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Technology,36.792,Phones,1,0.2,4.1391
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Furniture,18.624,Furnishings,8,0.2,6.2856
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,57.69,Furnishings,3,0,23.6529
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,42.81,Binders,3,0,20.1207
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,12.96,Paper,2,0,6.2208
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,821.88,Furnishings,6,0,213.6888
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,104.85,Phones,3,0,28.3095
Standard Class,Corporate,United States,Hesperia,California,92345,West,Furniture,424.9575,Bookcases,5,0.15,19.998
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,10.776,Binders,3,0.2,3.5022
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,11.784,Binders,3,0.2,4.2717
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,164.88,Paper,3,0,80.7912
Second Class,Corporate,United States,Provo,Utah,84604,West,Furniture,1292.94,Bookcases,3,0,77.5764
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,25.584,Binders,2,0.2,8.9544
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,261.74,Storage,2,0,65.435
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,14.4,Labels,5,0,7.056
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,10.86,Envelopes,3,0,5.1042
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Furniture,883.84,Chairs,4,0.2,99.432
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,1979.89,Phones,11,0,494.9725
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,79.96,Envelopes,2,0,35.982
First Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,8.76,Binders,2,0,4.2048
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,3.984,Labels,1,0.2,1.2948
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,370.62,Tables,3,0.4,-142.071
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,2.742,Binders,2,0.7,-2.0108
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,79.512,Accessories,3,0.2,20.8719
